Model,Accuracy,F-Score
Light GBM,0.9033078880407125,0.5128205128205128
Gradient Boosting,0.8880407124681934,0.3714285714285715
Extreme Gradient,0.8854961832061069,0.3478260869565218
Decision Tree,0.816793893129771,0.34545454545454546
Naive Bayes,0.7531806615776081,0.3120567375886525
Random Forest,0.8702290076335878,0.13559322033898305
stochastic gradient,0.7989821882951654,0.11235955056179775
Neural Network,0.7989821882951654,0.11235955056179775
Logistic Regression,0.8575063613231552,0.034482758620689655
Support Vector,0.8651399491094147,0.0
