Model,Accuracy,F-Score
Light GBM,0.9033078880407125,0.5128205128205128
Gradient Boosting,0.8880407124681934,0.3714285714285715
Decision Tree,0.811704834605598,0.3620689655172413
Extreme Gradient,0.8854961832061069,0.3478260869565218
Naive Bayes,0.7531806615776081,0.3120567375886525
Random Forest,0.8753180661577609,0.14035087719298245
SGD,0.811704834605598,0.11904761904761905
ANN,0.811704834605598,0.11904761904761905
Logistic Regression,0.8575063613231552,0.034482758620689655
SVM,0.8651399491094147,0.0
