Model,Accuracy,F-Score
Light GBM,0.8955414012738854,0.4225352112676056
Extreme Gradient,0.889171974522293,0.4161073825503355
Decision Tree,0.8318471337579618,0.3465346534653465
Naive Bayes,0.7439490445859872,0.28975265017667845
Gradient Boosting,0.8738853503184714,0.2204724409448819
stochastic gradient,0.2140127388535032,0.20998719590268883
Neural Network,0.2140127388535032,0.20998719590268883
Random Forest,0.8687898089171975,0.055045871559633024
Logistic Regression,0.8509554140127389,0.03305785123966942
Support Vector,0.8649681528662421,0.0
