Model,Accuracy,F-Score
Light GBM,0.8955414012738854,0.4225352112676056
Extreme Gradient,0.889171974522293,0.4161073825503355
Decision Tree,0.8331210191082803,0.3849765258215963
Naive Bayes,0.7439490445859872,0.28975265017667845
Gradient Boosting,0.8713375796178344,0.22900763358778625
stochastic gradient,0.8522292993630574,0.09375
Neural Network,0.8522292993630574,0.09375
Random Forest,0.8687898089171975,0.07207207207207207
Logistic Regression,0.8509554140127389,0.03305785123966942
Support Vector,0.8649681528662421,0.0
